Date,Estimate,Actual
2022-05-02,None,None
2022-02-21,None,None
2021-05-03,1.8,2.3
2021-02-22,0.81,0.82
2020-11-02,0.37,0.62
2020-08-03,0.02,0.15
2020-05-04,1.29,1.45
2020-02-18,1.8,1.93
2019-11-05,1.75,1.47
2019-08-06,1.78,1.7
2019-05-07,1.37,1.39
2019-02-19,1.62,1.21
2018-11-06,1.58,1.67
2018-08-08,1.63,1.59
2018-05-08,1.58,1.64
2018-02-13,1.51,1.56
2017-11-06,1.22,1.33
2017-08-01,0.91,1.25
2017-05-02,0.6,1.04
2017-02-14,0.51,0.9
2016-11-07,0.34,0.54
2016-08-02,0.16,0.26
2016-05-03,-0.05,0.02
2016-02-16,0.45,0.58
2015-11-03,0.32,0.4
2015-08-05,0.37,0.41
2015-05-06,0.39,0.38
2015-02-17,0.55,0.29
2014-11-04,0.61,0.61
2014-08-05,0.69,0.7
2014-05-07,0.56,0.53
2014-02-19,0.41,0.4
2013-11-04,0.34,0.35
2013-08-06,0.26,0.3
2013-05-07,0.17,0.12
2013-02-25,0.13,0.18
