Date,Estimate,Actual
2022-07-25,None,None
2022-04-25,None,None
2021-07-27,0.28,0.4
2021-04-27,0.11,0.24
2021-01-26,0.73,0.64
2020-10-28,-0.33,0.48
2020-07-29,-0.81,-1.2
2020-04-29,0.63,0.4
2020-01-29,1.42,1.68
2019-10-30,0.88,1.2
2019-07-31,0.12,0.17
2019-04-30,0.09,0.14
2019-01-31,0.22,0.17
2018-10-30,0.2,0.14
2018-07-20,0.18,0.19
2018-04-20,0.11,0.16
2018-01-24,0.29,0.27
2017-10-20,0.49,0.29
2017-07-21,0.25,0.28
2017-04-21,0.17,0.21
2017-01-20,0.46,0.46
2016-10-21,0.3,0.32
2016-07-22,0.46,0.51
2016-04-22,0.19,0.21
2016-01-22,0.49,0.52
2015-10-16,0.26,0.29
2015-07-17,0.28,0.31
2015-04-17,0.3,0.2
2015-01-23,0.55,0.56
2014-10-17,0.37,0.38
2014-07-18,0.39,0.39
2014-04-17,0.32,0.33
2014-01-17,0.53,0.53
2013-10-18,0.35,0.36
2013-07-19,0.35,0.36
2013-04-19,0.35,0.35
2013-01-18,0.43,0.44
2012-10-19,0.36,0.36
2012-07-20,0.37,0.38
2012-04-20,0.33,0.34
2012-01-20,0.38,0.39
2011-10-21,0.31,0.31
2011-07-22,0.32,0.34
2011-04-21,0.28,0.33
2011-01-21,0.32,0.36
2010-10-15,0.27,0.29
2010-07-16,0.27,0.3
2010-04-16,0.16,0.21
2010-01-22,0.26,0.28
2009-10-16,0.2,0.22
2009-07-17,0.23,0.26
2009-04-17,0.21,0.26
2009-01-23,0.37,0.36
2008-10-10,0.45,0.45
2008-07-11,0.54,0.54
2008-04-11,0.51,0.44
2008-01-18,0.68,0.68
2007-10-12,0.5,0.5
2007-07-13,0.52,0.53
2007-04-13,0.44,0.44
2007-01-19,0.64,0.64
2006-10-13,0.49,0.49
2006-07-14,0.47,0.47
2006-04-13,0.39,0.39
2006-01-20,0.55,0.55
2005-10-14,0.44,0.44
2005-07-15,0.44,0.44
2005-04-15,0.37,0.38
2005-01-21,0.5,0.51
2004-10-08,0.38,0.38
2004-07-09,0.37,0.38
2004-04-08,0.32,0.32
2004-01-16,0.45,0.45
2003-10-10,0.4,0.4
2003-07-11,0.38,0.38
2003-04-11,0.32,0.32
2003-01-17,0.31,0.31
2002-10-11,0.41,0.41
2002-07-12,0.44,0.44
2002-04-11,0.35,0.35
2002-01-17,0.39,0.39
2001-10-11,0.34,0.33
2001-07-12,0.39,0.39
2001-04-12,0.3,0.3
2001-01-17,0.36,0.36
2000-10-11,0.32,0.32
2000-07-13,0.33,0.34
2000-04-13,0.26,0.26
2000-01-20,0.3,0.31
1999-10-07,0.26,0.27
1999-07-08,0.28,0.28
1999-04-08,0.22,0.22
1999-01-20,0.27,0.27
1998-10-08,0.23,0.23
1998-07-09,0.25,0.25
1998-04-08,0.19,0.19
1998-01-22,0.24,0.24
1997-10-09,0.2,0.21
1997-07-10,0.22,0.22
1997-04-10,0.17,0.17
