Date,Estimate,Actual
2022-07-26,None,None
2022-04-26,None,None
2021-07-28,6.82,6.89
2021-04-28,7.06,7.67
2021-02-03,-2.37,-2.3
2020-11-03,2.81,3.08
2020-08-05,10.27,12.56
2020-04-29,4.68,5.4
2020-02-05,2.2,2.28
2019-11-06,4.58,5.03
2019-07-31,5.31,6.05
2019-05-01,4.3,4.48
2019-02-06,2.53,2.65
2018-11-07,4.26,4.58
2018-08-01,3.78,3.96
2018-05-02,3.19,3.36
2018-02-07,2,2.06
2017-11-08,3.27,3.39
2017-08-02,3.08,3.49
2017-05-03,2.5,2.75
2017-02-08,2.05,2.09
2016-11-04,3.15,3.18
2016-08-03,2.24,2.3
2016-05-04,1.81,1.86
2016-02-10,1.45,1.45
2015-11-06,2.13,2.16
2015-07-29,1.63,1.67
2015-04-29,2.56,2.47
2015-02-04,1.16,1.09
2014-11-07,2,1.85
2014-07-30,2.19,2.19
2014-05-07,1.94,2.35
2014-02-05,0.94,0.8
2013-11-06,2.15,2.31
2013-07-31,2.47,2.75
2013-05-01,1.81,2.69
2013-02-04,1.07,1.19
2012-11-05,2.05,2.62
2012-07-30,2.28,2.19
2012-04-30,1.53,1.49
2012-02-06,1.2,1.2
2011-10-31,2.02,2.67
2011-08-01,2.06,2.71
2011-05-02,1.86,1.86
2011-02-07,0.81,0.63
2010-11-01,1.66,2.32
2010-08-02,1.67,2.55
2010-04-26,1.14,1.52
2010-02-01,1.48,1.48
2009-11-02,1.77,1.78
2009-08-03,1.64,1.67
2009-04-27,1.18,1.22
2009-02-02,1.07,1.07
2008-10-27,1.47,1.49
2008-08-04,1.18,1.24
2008-04-28,0.45,0.47
2008-02-04,1.32,1.43
2007-10-29,1.49,1.78
2007-07-18,1.17,1.28
2007-04-30,0.4,0.42
2007-02-05,0.88,0.92
2006-10-30,0.97,0.95
2006-07-31,0.35,0.53
2006-05-01,0.43,0.39
2006-02-06,0.45,0.46
2005-10-31,0.51,0.6
2005-08-01,0.51,0.51
2005-05-02,0.49,0.53
2005-02-07,0.27,0.29
2004-11-01,0.44,0.52
2004-07-26,0.39,0.46
2004-04-26,0.41,0.41
2004-02-02,0.4,0.41
2003-10-27,0.38,0.38
2003-07-28,0.29,0.37
2003-04-28,0.31,0.31
2003-02-03,0.33,0.34
2002-10-28,0.31,0.31
2002-07-29,0.27,0.27
2002-04-29,0.28,0.28
2002-02-04,0.2,0.21
2001-10-29,0.18,0.18
2001-07-30,0.15,0.15
2001-05-03,0.16,0.16
2001-02-07,0.15,0.16
2000-10-31,0.2,0.14
2000-08-03,0.11,0.11
2000-05-03,0.15,0.13
2000-02-09,0.13,0.15
1999-11-04,0.12,0.13
1999-07-29,0.17,0.17
1999-05-05,0.22,0.2
1999-02-09,0.34,0.34
1998-10-29,0.32,0.32
1998-08-04,0.31,0.31
1998-04-29,0.3,0.3
1998-02-10,0.3,0.29
1997-10-28,0.28,0.27
1997-07-31,0.26,0.25
1997-04-29,0.23,0.24
