Date,Estimate,Actual
2022-04-28,None,None
2022-01-27,None,None
2021-11-01,None,None
2021-07-30,0.83,0.83
2021-04-30,0.49,0.52
2021-01-29,0.4,0.43
2020-11-03,0.73,0.76
2020-07-31,0.48,0.67
2020-05-01,0.36,0.42
2020-01-31,0.38,0.4
2019-11-07,0.76,0.78
2019-07-31,0.63,0.65
2019-05-01,0.3,0.32
2019-02-01,0.24,0.26
2018-11-08,0.93,0.93
2018-07-31,0.79,0.81
2018-05-01,0.52,0.53
2018-01-31,0.53,0.54
2017-11-09,0.87,0.87
2017-07-27,0.71,0.71
2017-04-27,0.49,0.5
2017-02-01,0.52,0.53
2016-11-08,1.06,1.21
2016-07-29,0.56,0.56
2016-04-29,0.48,0.47
2016-01-29,0.44,0.44
2015-11-13,0.64,0.64
2015-07-31,0.59,0.62
2015-04-24,0.52,0.58
2015-01-30,0.51,0.51
2014-11-13,0.59,0.59
2014-07-25,0.56,0.57
2014-04-25,0.43,0.47
2014-01-31,0.47,0.49
2013-11-14,0.55,0.54
2013-07-26,0.5,0.52
2013-04-26,0.41,0.44
2013-01-29,0.41,0.42
2012-11-14,0.36,0.35
2012-07-31,0.97,1.06
2012-04-26,0.83,0.9
2012-01-31,0.82,0.88
2011-11-16,0.9,0.96
2011-07-28,0.76,0.89
2011-04-28,0.71,0.76
2011-01-27,0.71,0.79
2010-11-09,0.69,0.77
2010-07-29,0.67,0.75
2010-04-27,0.57,0.62
2010-01-28,0.62,0.68
2009-11-10,0.56,0.64
2009-07-30,0.47,0.61
2009-04-30,0.42,0.58
2009-02-03,0.5,0.64
2008-11-11,0.77,0.85
2008-07-31,0.7,0.92
2008-05-01,0.6,0.7
2008-02-05,0.59,0.76
2007-11-15,0.58,0.6
2007-08-07,0.5,0.58
2007-05-08,1.97,2.05
2007-02-06,1.83,1.88
2006-11-15,2.05,2.14
2006-08-03,1.99,2.05
2006-05-04,1.74,1.88
2006-02-02,1.6,1.63
2005-11-16,1.95,2.01
2005-08-02,2.04,2.09
2005-05-03,1.96,2.01
2005-02-01,1.75,1.76
2004-11-01,1.81,1.88
2004-08-03,1.74,1.88
2004-05-04,1.5,1.72
2004-02-03,1.34,1.42
2003-11-04,1.4,1.42
2003-07-29,1.45,1.34
2003-04-30,1.33,1.34
2003-01-22,1.34,1.34
2002-10-24,1.33,1.26
2002-07-23,1.87,1.88
2002-04-25,2.65,2.72
2002-01-15,3.03,3.1
2001-10-18,3.51,3.6
2001-07-18,2.9,3.02
2001-04-18,2.55,2.72
2001-01-17,2.37,2.35
2000-10-24,2.65,2.68
2000-07-19,2.38,2.43
2000-04-18,2.09,2.09
2000-01-18,1.89,1.93
1999-10-21,1.85,1.93
1999-07-20,1.66,1.76
1999-04-20,1.37,1.45
1999-01-19,1.23,1.28
1998-10-22,1.14,1.19
1998-07-17,1.06,1.15
1998-04-21,0.95,1.01
1998-01-21,0.87,0.9
1997-10-21,0.75,0.82
1997-07-21,0.78,0.86
