Date,Estimate,Actual
2022-05-02,None,None
2022-02-21,None,None
2021-05-04,1.48,1.73
2021-02-23,1.62,1.63
2020-11-02,1.24,1.47
2020-08-04,1.09,1.55
2020-05-05,1.23,1.19
2020-02-18,1.35,1.51
2019-10-29,1.19,1.36
2019-07-30,1.11,1.16
2019-04-30,1,1.13
2019-02-19,1.07,1.1
2018-10-25,1.11,1.14
2018-07-26,1.06,1.12
2018-05-03,1.03,1.03
2018-02-22,0.85,0.87
2017-11-02,0.82,0.95
2017-08-03,0.8,1.04
2017-05-04,0.79,0.88
2017-02-23,0.83,0.75
2016-11-03,0.96,1.25
2016-07-28,0.73,0.68
2016-04-27,0.68,0.77
2016-02-18,0.66,0.78
2015-10-29,0.66,0.71
2015-08-05,0.57,0.73
2015-05-12,0.59,0.65
2015-03-23,0.48,0.68
2015-03-20,None,None
2014-12-03,0.52,0.65
2014-09-09,0.62,0.61
2014-06-04,0.54,0.59
2014-03-27,0.45,0.56
2013-12-10,0.14,-0.11
2013-09-04,0.87,0.52
2013-06-03,1.02,1.16
2013-03-26,2.06,2.16
2012-12-05,1.37,1.32
2012-08-30,1.31,1.36
2012-05-31,1.31,1.4
2012-03-20,1.35,-1.96
2011-12-06,1.36,1.4
2011-08-31,1.4,1.28
2011-06-02,1.31,1.44
2011-03-23,1.18,1.44
2010-12-08,1.39,1.64
2010-09-01,1.33,1.68
2010-06-03,1.24,1.28
2010-03-30,1.29,1.24
2009-12-08,1.32,1.36
2009-09-02,1.22,1.24
2009-06-03,1.06,1.16
2009-03-25,1.14,1.2
2008-12-09,1.18,1.16
2008-09-03,1.04,1.04
2008-06-03,0.9,1
2008-03-25,0.88,1
2007-12-10,0.92,1.04
2007-09-06,0.82,0.96
2007-06-06,0.79,0.72
2007-04-11,0.68,0.8
2006-12-12,0.93,1.04
