Date,Estimate,Actual
2022-04-27,None,None
2022-02-09,None,None
2021-10-28,4.92,None
2021-07-29,5.53,6.13
2021-04-29,7.43,8.79
2021-02-11,8.11,10.56
2020-10-27,5.31,8.41
2020-07-28,1,2.57
2020-04-29,1.95,2.37
2020-02-13,2.8,2.86
2019-10-24,2.85,2.9
2019-07-25,2.92,2.93
2019-04-30,2.53,2.62
2019-02-07,2.49,2.52
2018-10-24,2.88,2.74
2018-07-25,2.93,2.98
2018-04-25,2.63,2.78
2018-02-06,2.38,2.45
2017-10-25,2.39,2.46
2017-07-26,2.4,2.47
2017-04-25,2.2,2.22
2017-02-16,2.13,2.15
2016-10-26,2.29,2.25
2016-07-27,2.3,2.31
2016-04-25,1.96,2.02
2016-02-18,1.99,1.98
2015-10-26,2.06,2.07
2015-07-28,2.03,2.09
2015-04-27,1.63,1.73
2015-02-20,1.63,1.65
2014-10-28,1.75,1.8
2014-07-18,1.77,1.78
2014-04-28,1.58,1.51
2014-02-07,1.66,1.61
2013-10-18,1.8,1.8
2013-07-19,1.8,1.8
2013-04-19,1.76,1.74
2013-02-08,1.62,1.63
2012-10-18,1.74,1.76
2012-07-19,1.77,1.77
2012-04-19,1.67,1.74
2012-02-10,1.53,1.56
2011-10-20,1.6,1.61
2011-07-21,1.63,1.64
2011-04-21,1.46,1.52
2011-02-10,1.31,1.34
2010-10-21,1.4,1.47
2010-07-22,1.42,1.46
2010-04-21,1.31,1.3
2010-02-11,1.15,1.16
2009-10-22,1.15,1.22
2009-07-23,1.27,1.3
2009-04-23,1.17,1.22
2009-02-12,1.09,1.1
2008-10-23,1.12,1.1
2008-07-24,1.24,1.24
2008-04-24,1.14,1.14
2008-02-07,1.01,1.04
2007-10-25,1.09,1.07
2007-07-24,1.09,1.09
2007-04-26,0.93,0.98
2007-02-15,0.72,0.85
2006-10-24,0.8,0.84
2006-07-25,0.83,0.87
2006-04-25,0.74,0.76
2006-02-16,0.65,0.67
2005-10-20,0.72,0.7
2005-07-21,0.75,0.76
2005-04-19,0.65,0.67
2005-02-15,0.61,0.61
2004-10-21,0.66,0.66
2004-07-22,0.66,0.7
2004-04-22,0.59,0.61
2004-02-12,0.53,0.53
2003-10-23,0.59,0.59
2003-07-22,0.6,0.6
2003-04-28,0.49,0.51
2003-02-18,0.36,0.36
2002-10-30,0.44,0.46
2002-07-24,0.54,0.55
2002-04-22,0.46,0.47
2002-02-13,0.27,0.29
2001-10-22,0.34,0.37
2001-07-23,0.35,0.37
2001-04-23,0.31,0.31
2001-02-14,0.15,0.08
2000-10-23,0.2,0.24
2000-07-19,0.22,0.24
2000-04-24,0.11,0.18
2000-02-15,0,0.03
1999-10-20,0.08,0.08
1999-07-22,0.13,0.15
1999-04-22,0.05,0.05
1999-02-23,-0.02,-0.28
1998-10-27,-0.02,0
1998-07-21,-0.04,0.03
1998-04-30,-0.1,-0.02
1998-03-17,-0.12,-0.1
1997-10-28,-0.07,-0.12
1997-07-29,0.06,0.05
