Date,Estimate,Actual
2022-05-02,None,None
2022-02-15,None,None
2021-11-01,1.54,None
2021-08-02,0.98,1.17
2021-05-03,0.53,0.57
2021-02-17,0.2,0.57
2020-11-02,0.17,0.23
2020-08-03,-0.01,0.11
2020-05-04,-0.08,-0.06
2020-02-19,-0.05,-0.29
2019-11-04,0.23,0.08
2019-08-06,0.29,0.12
2019-05-06,0.24,0.25
2019-02-25,0.57,0.77
2018-11-05,0.65,0.75
2018-08-06,0.38,0.4
2018-05-07,0.28,0.2
2018-02-19,0.28,0.34
2017-10-31,0.18,0.43
2017-08-01,0.23,0.29
2017-05-02,0.23,0.04
2017-02-07,0.13,0.26
2016-11-01,0.1,0.41
2016-08-02,0.12,0.06
2016-05-04,0.14,0.14
2016-02-11,0.44,0.53
2015-11-03,0.53,0.62
2015-08-04,0.89,1.05
2015-04-30,0.74,0.7
2015-02-11,0.86,0.87
2014-10-30,0.59,0.56
2014-07-31,0.74,0.7
2014-05-06,0.59,0.59
2014-02-11,0.42,0.23
2013-11-05,0.55,0.51
2013-07-16,1.14,1.14
2013-03-28,0.88,0.9
2013-01-04,0.93,1.05
2012-10-02,1.15,1.01
2012-07-17,1.15,1.19
2012-03-28,0.74,0.64
2012-01-04,1.28,1.4
2011-09-23,1.29,1.17
2011-07-18,1.38,1.52
2011-03-30,1.07,1.21
2011-01-04,0.91,1.01
2010-10-04,0.7,0.67
2010-07-22,0.86,0.89
2010-03-31,0.61,0.5
2010-01-05,0.35,0.32
2009-10-05,0.35,0.23
2009-07-22,0.1,0.33
2009-04-07,0.24,0.13
2009-01-05,1.42,1.12
2008-10-01,2.94,2.65
2008-07-28,1.64,1.93
2008-04-04,0.95,1.08
2008-01-09,0.73,0.83
2007-10-09,0.58,0.64
2007-07-30,0.41,0.46
2007-04-09,0.16,0.05
2007-01-29,0.15,0.15
2006-10-03,0.23,0.14
2006-08-01,0.14,0.06
2006-04-11,0.01,-0.19
2006-01-17,0.16,0.13
2005-10-03,0.23,0.18
2005-07-27,0.2,0.22
