Date,Estimate,Actual
2022-04-27,None,None
2022-01-26,None,None
2021-10-28,1.26,None
2021-07-29,1.18,1.23
2021-04-29,1.05,1.07
2021-01-28,1.02,0.99
2020-10-30,1.16,1.19
2020-07-28,1.06,1.09
2020-04-30,0.98,1.09
2020-01-30,1.02,1.02
2019-10-31,1.15,1.19
2019-07-30,1.11,1.1
2019-04-25,0.92,0.9
2019-01-31,0.95,0.95
2018-10-25,1.07,1.08
2018-07-26,1,1.01
2018-04-26,0.93,0.95
2018-02-01,0.8,0.91
2017-10-26,0.87,0.9
2017-07-27,0.86,0.85
2017-05-02,0.74,0.73
2017-02-01,0.67,0.68
2016-10-27,0.8,0.82
2016-07-27,0.8,0.81
2016-04-28,0.68,0.72
2016-01-28,0.68,0.67
2015-10-29,0.75,0.75
2015-07-29,0.71,0.74
2015-04-23,0.62,0.63
2015-01-30,0.67,0.66
2014-10-30,0.68,0.69
2014-07-22,0.66,0.65
2014-04-24,0.57,0.57
2014-01-30,0.58,0.57
2013-10-24,0.64,0.65
2013-07-23,0.63,0.62
2013-04-25,0.53,0.54
2013-01-31,0.55,0.55
2012-10-25,0.58,0.58
2012-07-24,0.57,0.59
2012-04-26,0.49,0.49
2012-01-27,0.49,0.5
2011-10-27,0.56,0.56
2011-07-20,0.53,0.53
2011-04-20,0.44,0.44
2011-01-27,0.44,0.44
2010-10-20,0.52,0.54
2010-07-21,0.5,0.5
2010-04-21,0.4,0.42
2010-01-28,0.4,0.39
2009-10-21,0.46,0.48
2009-07-22,0.47,0.5
2009-04-22,0.38,0.39
2009-01-29,0.37,0.37
2008-10-23,0.44,0.46
2008-07-31,0.45,0.46
2008-04-24,0.37,0.37
2008-01-30,0.97,1
2007-10-17,1.14,1.21
2007-07-18,1.13,1.15
2007-04-19,1.05,1.03
2007-01-31,1.22,1.27
2006-10-25,1.41,1.39
2006-07-25,1.37,1.41
2006-04-20,1.28,1.28
2006-01-31,1.17,1.17
2005-10-19,1.33,1.38
2005-07-20,1.34,1.32
2005-04-20,1.23,1.24
2005-01-26,1.06,1.08
2004-10-19,1.25,1.24
2004-07-20,1.28,1.25
2004-04-20,1.13,1.16
2004-01-28,1.06,1.06
2003-10-16,1.21,1.23
2003-07-17,1.19,1.26
2003-04-16,1.06,1.07
2003-01-29,0.92,0.93
2002-10-17,1.26,1.26
2002-07-18,1.23,1.24
2002-04-17,1.13,1.14
2002-01-30,0.99,0.99
2001-10-17,1.07,1.07
2001-07-18,1.03,1.03
2001-04-17,0.94,0.95
2001-01-31,0.88,0.87
2000-10-17,0.99,0.99
2000-07-18,0.95,0.95
2000-04-18,0.9,0.89
2000-01-26,0.78,0.77
1999-10-19,0.87,0.84
1999-07-20,0.85,0.84
1999-04-20,0.79,0.8
1999-01-27,0.72,0.72
1998-10-20,0.83,0.81
1998-07-21,0.82,0.82
1998-04-21,0.79,0.77
1998-01-28,0.66,0.66
1997-10-21,0.78,0.78
1997-07-22,0.76,0.76
