Date,Estimate,Actual
2022-05-02,None,None
2022-02-07,None,None
2021-11-01,2.74,None
2021-08-02,2.31,2.44
2021-04-26,2.21,2.31
2021-02-01,2.1,2.22
2020-10-26,1.54,1.62
2020-07-27,0.85,0.94
2020-04-27,1.38,1.38
2020-02-03,2.02,1.99
2019-10-28,1.93,2.02
2019-07-29,1.78,1.91
2019-04-29,1.55,1.66
2019-02-06,2.08,2.13
2018-10-31,1.9,2.01
2018-07-26,1.65,1.5
2018-05-03,1.61,1.55
2018-02-07,1.8,1.96
2017-10-25,1.69,1.85
2017-08-02,1.52,1.51
2017-05-03,1.35,1.4
2017-02-01,1.65,1.75
2016-10-26,1.6,1.65
2016-07-27,1.35,1.39
2016-04-25,1.09,1.14
2016-02-03,1.07,1.25
2015-10-28,1.5,1.57
2015-07-29,1.38,1.44
2015-04-29,1.3,1.35
2015-02-04,1.32,1.35
2014-10-22,1.3,1.35
2014-07-23,1.05,1.09
2014-04-23,0.91,0.98
2014-02-05,0.95,0.99
2013-10-23,0.82,0.85
2013-07-31,0.66,0.71
2013-04-22,0.49,0.66
2013-01-30,0.47,0.5
2012-10-24,0.56,0.56
2012-07-24,0.4,0.45
2012-04-26,0.18,0.19
2012-02-09,0.24,0.24
2011-11-01,0.51,0.5
2011-07-28,0.52,0.51
2011-05-04,0.42,0.46
2011-02-15,0.47,0.37
2010-11-02,0.46,0.49
