Date,Estimate,Actual
2022-04-25,None,None
2022-01-26,None,None
2021-10-26,1.6,None
2021-07-27,1.51,1.7
2021-04-27,1.34,1.53
2021-01-28,1.42,1.48
2020-10-26,1.39,0.85
2020-07-27,1.3,1.46
2020-04-27,1.14,1.15
2020-01-28,1.39,1.41
2019-10-24,1.46,1.23
2019-07-25,1.4,1.52
2019-04-25,1.31,1.43
2019-01-29,1.29,1.11
2018-10-25,1.67,1.67
2018-07-26,1.37,1.35
2018-04-26,1.35,1.4
2018-01-29,1.37,1.19
2017-10-26,1.3,1.28
2017-07-27,1.23,1.31
2017-04-27,1.22,1.27
2017-01-30,1.15,1.27
2016-10-27,1.12,1.15
2016-07-28,1.06,1.15
2016-04-28,0.99,0.97
2016-02-01,1.05,1.02
2015-10-22,1.06,1.06
2015-07-23,1.04,1.09
2015-04-23,1.05,1.09
2015-01-29,1.04,1.09
2014-10-23,1.06,1.19
2014-07-24,1.01,1.08
2014-04-24,0.92,1.06
2014-02-03,0.93,0.96
2013-10-24,0.87,0.9
2013-07-25,0.82,0.91
2013-04-25,0.74,0.79
2013-01-31,0.74,0.82
2012-10-25,0.49,0.45
2012-07-26,0.74,0.72
2012-04-26,0.74,0.7
2012-02-02,0.75,0.71
2011-10-27,0.71,0.61
2011-08-01,0.72,0.73
2011-05-02,0.71,0.71
2011-02-07,0.68,0.66
2010-11-01,0.63,0.68
2010-08-02,0.66,0.59
2010-05-03,0.68,0.69
2010-02-08,0.65,0.62
2009-11-02,0.65,0.74
2009-08-03,0.63,0.69
2009-05-04,0.66,0.63
2009-02-09,0.66,0.69
2008-11-03,0.92,0.96
2008-08-04,0.95,0.97
2008-05-05,0.98,0.92
2008-02-04,1.01,0.86
2007-10-29,1,1.17
2007-07-30,0.97,1.05
2007-04-30,0.93,0.87
2007-02-05,0.88,0.93
2006-10-30,0.83,0.94
2006-07-31,0.81,0.82
2006-05-01,0.76,0.85
2005-10-31,0.69,0.75
2005-08-01,0.66,0.76
2005-05-02,0.64,0.69
2005-02-07,0.61,0.66
2004-11-01,0.57,0.66
2004-08-02,0.58,0.54
2004-05-03,0.65,0.6
2004-02-02,0.32,0.46
2003-11-03,0.61,0.63
2003-08-04,0.61,0.67
2003-05-05,0.55,0.63
2003-02-04,0.53,0.53
2002-11-06,0.52,0.58
2002-08-07,0.53,0.53
2002-05-08,0.51,0.52
2002-02-06,0.46,0.5
