Date,Estimate,Actual
2022-07-14,None,None
2022-04-14,None,None
2021-07-16,1.79,1.97
2021-04-16,1.35,1.47
2021-01-19,1.56,1.69
2020-10-16,1.42,1.45
2020-07-17,1.61,1.88
2020-04-17,1.35,1.67
2020-01-17,1.7,1.98
2019-10-18,1.39,1.51
2019-07-19,1.39,1.45
2019-04-23,1.19,1.24
2019-01-18,1.67,1.68
2018-10-19,1.89,1.87
2018-07-20,2.01,2.05
2018-04-20,1.59,1.62
2018-01-23,1.7,1.83
2017-10-23,1.62,1.71
2017-07-26,1.57,1.67
2017-04-26,1.1,1.21
2017-01-25,1.32,1.35
2016-10-26,1.25,1.35
2016-07-27,1.26,1.46
2016-04-27,0.9,0.98
2016-01-27,1.18,1.21
2015-10-23,1.23,1.16
2015-07-24,1.37,1.37
2015-04-24,1.05,1.17
2015-01-23,1.26,1.37
2014-10-24,1.21,1.35
2014-07-22,1.26,1.39
2014-04-25,1,0.99
2014-01-24,1.19,1.15
2013-10-22,1.18,1.19
2013-07-19,1.19,1.24
2013-04-19,0.93,0.96
2013-01-18,1,1.11
2012-10-16,0.96,0.99
2012-07-17,0.97,1.01
2012-04-17,0.86,0.84
2012-01-18,0.94,0.93
2011-10-18,0.88,0.96
2011-07-19,0.96,0.96
2011-04-19,0.86,0.88
2011-01-19,0.86,0.87
2010-10-19,0.83,0.86
2010-07-20,0.93,0.93
2010-04-20,0.75,0.75
2010-01-20,0.97,0.99
2009-10-20,1.04,1.05
2009-07-21,0.97,1.04
2009-04-21,1.02,1.04
2009-01-20,1.14,1.18
2008-10-15,1.19,1.24
2008-07-15,1.36,1.4
2008-04-15,1.3,1.39
2008-01-15,1.35,1.38
2007-10-16,0.94,1.15
2007-07-17,1.01,1.07
2007-04-17,0.91,0.93
2007-01-17,0.84,0.86
2006-10-17,0.79,0.8
2006-07-18,0.83,0.93
2006-04-18,0.77,0.84
2006-01-18,0.73,0.74
2005-10-18,0.67,0.75
2005-07-19,0.68,0.66
2005-04-19,0.62,0.67
2005-01-18,0.58,0.57
2004-10-12,0.65,0.55
2004-07-13,0.68,0.68
2004-04-13,0.66,0.67
2004-01-13,0.66,0.71
2003-10-14,0.57,0.8
2003-07-15,0.47,0.52
2003-04-15,0.46,0.44
2003-01-10,0.56,0.56
2002-10-15,0.55,0.56
2002-07-16,0.52,0.54
2002-04-16,0.54,0.54
2002-01-16,0.51,0.52
2001-10-17,0.49,0.51
2001-07-17,0.48,0.5
2001-04-17,0.46,0.47
2001-01-17,0.46,0.45
2000-10-18,0.46,0.46
2000-07-19,0.45,0.45
2000-04-18,0.44,0.46
2000-01-18,0.37,0.37
1999-10-19,0.38,0.39
1999-07-14,0.38,0.38
1999-04-20,0.36,0.38
1999-01-19,0.34,0.34
1998-10-14,0.34,0.34
1998-07-15,0.33,0.34
1998-04-14,0.32,0.32
1998-01-14,0.3,0.31
1997-10-15,0.29,0.31
1997-07-16,0.27,0.28
1997-04-15,0.24,0.26
