Date,Estimate,Actual
2022-05-17,None,None
2022-02-22,None,None
2021-11-16,0.81,None
2021-08-18,0.57,0.79
2021-05-19,0.31,0.44
2021-02-24,0.62,0.5
2020-11-18,0.4,0.71
2020-08-19,-0.1,-0.18
2020-05-21,-0.18,-0.74
2020-02-26,0.77,0.81
2019-11-19,0.66,0.68
2019-08-20,0.62,0.62
2019-05-21,0.55,0.57
2019-02-27,0.69,0.68
2018-11-20,0.61,0.61
2018-08-21,0.53,0.59
2018-05-22,0.51,0.56
2018-02-28,0.64,0.65
2017-11-14,0.5,0.5
2017-08-15,0.42,0.43
2017-05-16,0.4,0.41
2017-02-22,0.5,0.52
2016-11-15,0.43,0.46
2016-08-16,0.81,0.84
2016-05-17,0.71,0.76
2016-02-24,0.94,0.99
2015-11-17,0.84,0.86
2015-08-18,0.76,0.8
2015-05-19,0.67,0.69
2015-02-25,0.9,0.93
2014-11-18,0.85,0.85
2014-08-19,0.73,0.75
2014-05-20,0.33,0.32
2014-02-26,0.41,0.41
2013-11-19,0.37,0.38
2013-08-20,0.32,0.33
2013-05-21,0.31,0.31
2013-02-27,0.4,0.41
2012-11-13,0.31,0.31
2012-08-14,0.27,0.28
2012-05-15,0.27,0.28
2012-02-22,0.31,0.31
2011-11-15,0.26,0.27
2011-08-16,0.22,0.23
2011-05-17,0.2,0.2
2011-02-23,0.26,0.26
2010-11-16,0.23,0.23
2010-08-17,0.18,0.18
2010-05-18,0.19,0.2
2010-02-24,0.23,0.24
2009-11-17,0.2,0.2
2009-08-18,0.15,0.15
2009-05-19,0.12,0.12
2009-02-25,0.13,0.14
2008-11-11,0.14,0.14
2008-08-12,0.12,0.12
2008-05-13,0.1,0.1
2008-02-20,0.16,0.16
2007-11-13,0.14,0.14
2007-08-14,0.09,0.1
2007-05-15,0.09,0.09
2007-02-21,0.13,0.13
2006-11-14,0.12,0.12
2006-08-15,0.07,0.07
2006-05-16,0.08,0.09
2006-02-22,0.11,0.12
2005-11-15,0.09,0.09
2005-08-16,0.06,0.06
2005-05-17,0.08,0.08
2005-02-23,0.1,0.1
2004-11-16,0.1,0.1
2004-08-17,0.06,0.06
2004-05-18,0.08,0.08
2004-02-25,0.11,0.12
2003-11-11,0.09,0.09
2003-08-12,0.06,0.06
2003-05-13,0.06,0.06
2003-02-26,0.07,0.07
2002-11-12,0.07,0.07
2002-08-13,0.06,0.06
2002-05-14,0.07,0.07
2002-02-27,0.07,0.07
2001-11-13,0.07,0.07
2001-08-14,0.05,0.05
2001-05-15,0.05,0.06
2001-02-28,0.06,0.06
2000-11-14,0.07,0.07
2000-08-15,0.05,0.05
2000-05-16,0.05,0.06
2000-03-01,0.05,0.05
1999-11-16,0.06,0.06
1999-09-11,0.03,0.03
1999-08-17,0.04,0.05
1999-05-18,0.04,0.05
1999-03-03,0.04,0.05
1998-11-17,0.05,0.05
1998-05-19,0.03,0.03
1998-03-04,0.03,0.04
1997-11-12,0.03,0.04
1997-08-12,0.02,0.02
