Date,Estimate,Actual
2022-04-25,None,None
2022-01-24,None,None
2021-10-18,2.04,None
2021-07-21,1.84,2.05
2021-04-27,1.58,1.87
2021-01-26,1.34,1.64
2020-10-20,1.28,1.45
2020-07-21,0.88,1.48
2020-04-21,1,1.24
2020-01-22,1.02,1.12
2019-10-22,1.42,1.49
2019-07-23,1.22,1.36
2019-04-23,1.13,1.26
2019-01-23,1.24,1.27
2018-10-23,1.53,1.58
2018-07-24,1.32,1.4
2018-04-24,1.11,1.35
2018-01-23,1.09,1.09
2017-10-24,1.12,1.26
2017-07-25,0.96,1.03
2017-04-25,0.83,0.97
2017-01-24,0.82,0.87
2016-10-26,0.86,0.94
2016-07-25,0.73,0.76
2016-04-27,0.62,0.65
2016-01-27,0.69,0.8
2015-10-21,0.68,0.76
2015-07-22,0.65,0.65
2015-04-22,0.62,0.61
2015-01-26,0.69,0.76
2014-10-20,0.71,0.76
2014-07-21,0.59,0.62
2014-04-23,0.41,0.42
2014-01-21,0.46,0.46
2013-10-21,0.53,0.56
2013-07-22,0.41,0.58
2013-04-22,0.3,0.32
2013-01-22,0.34,0.36
2012-10-22,0.46,0.52
2012-07-23,0.41,0.44
2012-04-23,0.29,0.32
2012-01-23,0.39,0.48
2011-10-24,0.57,0.51
2011-07-25,0.53,0.56
2011-04-18,0.58,0.55
2011-01-24,0.63,0.64
2010-10-25,0.69,0.71
2010-07-19,0.62,0.62
2010-04-26,0.51,0.52
2010-01-25,0.49,0.52
2009-10-19,0.39,0.42
2009-07-20,0.19,0.2
2009-04-20,-0.02,0.01
2009-01-26,0.13,0.21
2008-10-20,0.44,0.43
2008-07-21,0.46,0.44
2008-04-21,0.43,0.49
2008-01-22,0.52,0.54
2007-10-22,0.5,0.52
2007-07-23,0.42,0.42
2007-04-23,0.31,0.35
2007-01-22,0.38,0.45
2006-10-23,0.45,0.45
2006-07-24,0.46,0.47
2006-04-18,0.32,0.33
2006-01-23,0.42,0.43
2005-10-24,0.4,0.41
2005-07-25,0.29,0.32
2005-04-18,0.23,0.24
2005-01-25,0.26,0.28
2004-10-18,0.27,0.32
2004-07-20,0.25,0.25
2004-04-14,0.21,0.21
2004-01-26,0.19,0.22
2003-10-20,0.09,0.12
2003-07-21,0.06,0.07
2003-04-15,0.06,0.07
2003-01-22,0.03,0.06
2002-10-21,0.1,0.09
2002-07-22,0.06,0.06
2002-04-15,0,0.01
2002-01-28,-0.09,-0.06
2001-10-17,-0.04,-0.03
2001-07-23,0.02,0.03
2001-04-17,0.18,0.18
2001-01-22,0.34,0.31
2000-10-18,0.33,0.33
2000-07-24,0.3,0.31
2000-04-17,0.27,0.28
2000-01-24,0.24,0.26
1999-10-19,0.21,0.26
1999-07-20,0.2,0.23
1999-04-20,0.15,0.16
1999-01-20,0.14,0.15
1998-10-20,0.07,0.1
1998-07-21,0.09,0.09
1998-04-16,0.11,0.11
1998-01-21,0.15,0.14
1997-10-14,0.14,0.15
1997-07-15,0.11,0.13
