Date,Estimate,Actual
2023-01-18,None,None
2022-10-14,None,None
2022-07-15,None,None
2022-04-14,None,None
2022-01-19,1.11,None
2021-10-14,1.16,1.3
2021-07-15,1.14,1.28
2021-04-15,0.96,1.45
2021-01-20,0.95,0.95
2020-10-14,0.91,0.99
2020-07-15,0.22,0.41
2020-04-15,0.58,0.72
2020-01-15,1.08,0.9
2019-10-16,1.11,1.15
2019-07-17,1.07,1.09
2019-04-17,1,1
2019-01-16,1.06,1.07
2018-10-17,1.05,1.06
2018-07-18,1,1.02
2018-04-18,0.95,0.96
2018-01-17,0.87,0.88
2017-10-18,0.88,0.88
2017-07-19,0.84,0.85
2017-04-19,0.8,0.82
2017-01-18,0.81,0.82
2016-10-19,0.83,0.84
2016-07-15,0.8,0.83
2016-04-20,0.76,0.76
2016-01-15,0.79,0.79
2015-10-15,0.81,0.81
2015-07-15,0.8,0.8
2015-04-15,0.76,0.76
2015-01-21,0.77,0.79
2014-10-22,0.78,0.78
2014-07-16,0.77,0.78
2014-04-16,0.73,0.73
2014-01-22,0.75,0.76
2013-10-16,0.76,0.76
2013-07-17,0.76,0.76
2013-04-16,0.73,0.73
2013-01-16,0.75,0.75
2012-10-17,0.74,0.74
2012-07-18,0.7,0.73
2012-04-17,0.64,0.67
2012-01-18,0.63,0.64
2011-10-19,0.62,0.64
2011-07-20,0.53,0.6
2011-04-19,0.49,0.52
2011-01-19,0.46,0.49
2010-10-20,0.43,0.45
2010-07-21,0.38,0.45
2010-04-20,0.34,0.34
2010-01-20,0.29,0.3
2009-10-21,0.27,0.3
2009-07-22,0.1,0.12
2009-04-21,0.2,0.24
2009-01-21,0.22,0.15
2008-10-21,0.47,0.32
2008-07-15,0.59,0.53
2008-04-15,0.61,0.62
2008-01-15,0.59,0.53
2007-10-16,0.66,0.67
2007-07-17,0.67,0.65
2007-04-17,0.65,0.63
2007-01-16,0.67,0.66
2006-10-17,0.66,0.66
2006-07-18,0.64,0.66
2006-04-18,0.62,0.63
2006-01-17,0.62,0.62
2005-10-18,0.61,0.62
2005-07-19,0.59,0.6
2005-04-19,0.57,0.57
2005-01-18,0.57,0.56
2004-10-19,0.56,0.56
2004-07-20,0.53,0.54
2004-04-20,0.51,0.52
2004-01-20,0.51,0.5
2003-10-21,0.51,0.51
2003-07-15,0.49,0.5
2003-04-15,0.47,0.48
2003-01-21,0.48,0.48
2002-10-15,0.46,0.47
2002-07-16,0.45,0.45
2002-04-16,0.44,0.44
2002-01-15,0.4,0.4
2001-10-16,0.08,0.08
2001-07-17,0.43,0.43
2001-04-17,0.42,0.42
2001-01-16,0.41,0.41
2000-10-10,0.39,0.39
2000-07-17,0.37,0.37
2000-04-11,0.35,0.35
2000-01-14,0.33,0.33
1999-10-12,0.31,0.32
1999-07-13,0.28,0.28
1999-04-13,0.26,0.27
1999-01-12,0.24,0.24
1998-10-13,0.23,0.23
1998-07-14,0.22,0.22
1998-04-14,0.21,0.21
