Date,Estimate,Actual
2022-04-20,None,None
2021-07-29,0.14,0.48
2021-04-22,-1.89,-1.73
2021-01-28,-1.42,-1.06
2020-10-22,-1.49,-1.16
2020-07-30,-1.41,-1.25
2020-04-29,-0.15,0.34
2020-01-30,1.62,2.13
2019-10-24,1.35,1.48
2019-07-25,1.37,1.51
2019-04-25,0.23,0.34
2019-01-31,1.07,2.12
2018-10-25,1.95,2.01
2018-07-26,1.98,2.15
2018-04-26,0.94,1
2018-02-01,1.08,1.16
2017-10-26,1.83,1.91
2017-07-27,1.1,1.23
2017-04-25,0.6,0.68
2017-01-31,0.77,0.81
2016-10-25,0.93,1.24
2016-07-26,1,1.07
2016-05-03,0.66,0.6
2016-01-28,1.45,1.79
2015-10-28,2.66,2.79
2015-07-30,2.42,2.66
2015-04-28,1.67,1.87
2015-01-29,1.33,1.83
2014-11-04,1.58,2
2014-07-30,1.21,1.22
2014-04-29,1.38,1.54
2014-01-29,1.66,1.78
2013-10-29,0.41,0.57
2013-07-23,0.93,0.85
2013-04-30,1,1.18
2013-01-29,1.18,1.88
2012-10-30,1.75,1.9
2012-07-31,1.43,1.5
2012-05-01,0.29,0.31
2012-01-31,-0.19,-0.21
2011-11-01,1.94,2.11
2011-07-26,1.44,1.3
2011-04-26,0.3,0.18
2011-01-26,0.34,0.32
2010-10-26,0.48,0.51
2010-07-27,0.71,0.93
2010-04-27,-0.3,-0.18
2010-01-27,-0.49,-0.28
2009-10-27,-0.33,-0.39
2009-07-28,-0.5,-0.48
2009-04-28,0.5,0.59
2009-01-27,0.89,1
2008-10-28,1.54,1.86
2008-07-29,1.33,1.37
2008-04-29,0.29,0.36
2008-01-29,0.63,1.02
2007-11-06,1.36,1.4
2007-07-31,3.76,3.89
2007-04-26,1.81,1.86
2007-02-01,1.37,1.59
2006-10-31,2.3,2.42
2006-08-01,2.95,2.98
2006-04-25,1.32,1.32
2006-01-31,1.94,2
2005-10-31,2.11,2.19
2005-07-26,1.47,1.53
2005-04-21,0.98,0.96
2005-02-01,0.72,0.95
2004-10-26,0.77,0.79
2004-07-29,1.09,1.14
2004-04-28,0.44,0.46
2004-01-27,0.24,0.25
2003-10-30,0.36,0.38
2003-07-29,0.27,0.27
2003-04-22,0.33,0.38
2003-01-28,0.18,0.2
2002-10-30,0.06,0.07
2002-07-30,0.03,0.03
2002-04-30,-0.02,-0.09
2002-01-29,0.15,0.18
2001-10-23,0.32,0.4
2001-07-24,0.77,1.06
2001-04-17,0.39,0.53
2001-01-17,0.32,0.37
2000-10-17,0.41,0.5
2000-07-20,0.34,0.38
2000-04-20,0.12,0.14
2000-01-25,0.03,0.07
1999-10-19,0.1,0.1
1999-07-26,-0.08,-0.1
1999-04-26,-0.08,-0.01
1999-02-02,0.01,0.01
1998-10-20,0.04,0.02
1998-07-21,0.17,0.18
1998-04-27,0.08,0.08
1998-01-22,0.07,0.06
1997-10-21,0.23,0.23
1997-07-17,0.12,0.14
1997-04-17,0.08,0.07
1997-01-21,0.08,0.09
