Date,Estimate,Actual
2022-07-19,None,None
2022-04-19,None,None
2021-07-21,5.91,6.64
2021-04-21,5.41,7.2
2021-01-27,6.07,6.64
2020-10-21,4.2,6.91
2020-07-22,1,2.15
2020-04-30,2.48,2.82
2020-01-27,4.27,4.91
2019-10-22,3.89,3.97
2019-07-22,3.71,4.01
2019-04-22,2.86,3.11
2019-01-28,4.23,4.75
2018-10-24,3.76,4.55
2018-07-23,3.69,3.2
2018-04-23,2.95,2.81
2018-01-24,3.99,4.1
2017-10-23,3.94,3.83
2017-07-26,3.54,3.35
2017-04-24,2.65,2.5
2017-01-26,4.44,4.33
2016-10-25,3.86,3.66
2016-07-22,3.36,3.5
2016-04-26,2.68,2.63
2016-01-29,3.91,4.1
2015-10-23,3.29,3.45
2015-07-22,2.62,2.7
2015-04-28,2.34,2.14
2015-02-04,3.19,3.52
2014-10-28,3.13,3.04
2014-07-23,2.91,2.62
2014-04-25,2.33,2.2
2014-01-30,3.03,2.97
2013-10-22,2.61,2.72
2013-07-19,2.42,2.37
2013-04-24,1.93,1.97
2013-01-31,2.23,2.29
2012-10-23,1.6,1.8
2012-07-24,1.64,1.55
2012-04-26,1.12,1.41
2012-02-01,1.96,1.73
2011-10-28,2.68,2.35
2011-07-21,2.83,2.76
2011-04-27,1.64,2.11
2011-02-02,2.26,2.11
2010-10-27,1.76,2.22
2010-07-20,2.17,2.82
2010-04-26,1.33,2.51
2010-02-02,1.32,1.24
2009-10-23,0.77,1.15
2009-07-22,0.51,1.04
2009-04-27,-0.18,0.91
2009-02-09,0.78,0.6
2008-10-28,1.69,2.15
2008-07-23,1.37,1.53
2008-04-24,1.57,1.22
2008-02-05,2.15,2.38
2007-10-23,2.11,2.2
2007-07-20,1.83,2
2007-04-24,1.12,1.55
2007-02-07,1.44,1.67
2006-10-24,1.46,1.68
2006-07-25,1.04,1.26
2006-04-25,1.52,1.7
2006-02-02,1.7,1.83
2005-10-20,1.62,1.66
2005-07-21,1.37,1.42
2005-04-21,1.11,1.26
2005-02-03,1.43,1.44
2004-10-20,1.52,1.5
2004-07-21,1.49,1.53
2004-04-21,1.38,1.43
2004-02-03,1.75,1.76
2003-10-22,1.5,1.48
2003-07-24,1.31,1.35
2003-04-21,1.29,1.32
2003-02-05,1.64,1.64
2002-10-16,1.57,1.62
2002-07-16,1.46,1.48
2002-04-17,1.28,1.32
2002-02-05,1.54,1.58
2001-10-16,1.44,1.46
2001-07-17,1.27,1.3
2001-04-18,0.97,1.1
2001-01-24,0.99,1
2000-10-18,0.97,0.98
2000-07-17,1.64,1.66
2000-04-19,1.36,1.52
2000-01-24,1.48,1.51
1999-10-12,1.34,1.4
1999-07-13,1.23,1.3
1999-04-15,0.79,1.15
1999-01-26,1.07,1.09
1998-10-13,1.03,1.02
1998-07-15,1.02,1.07
1998-04-20,0.83,0.9
1998-02-03,0.85,0.86
1997-10-15,0.82,0.82
1997-07-15,0.84,0.86
1997-04-16,0.58,0.62
