Date,Estimate,Actual
2022-05-03,None,None
2022-01-26,None,None
2021-11-09,1.18,None
2021-08-05,0.97,1
2021-05-05,0.61,0.54
2021-01-28,0.54,0.61
2020-11-05,0.68,0.73
2020-08-04,0.44,0.76
2020-05-05,0.61,0.67
2020-01-30,0.59,0.58
2019-11-07,1.19,1.24
2019-08-01,1.01,1.11
2019-04-30,0.61,0.8
2019-01-31,0.79,0.83
2018-11-05,1.24,1.29
2018-08-02,1.06,1.09
2018-04-27,0.84,0.83
2018-01-29,0.77,0.87
2017-11-02,0.8,0.87
2017-08-03,0.64,0.74
2017-04-26,0.46,0.54
2017-01-24,0.46,0.47
2016-11-07,0.63,0.71
2016-08-04,0.66,0.71
2016-04-29,0.53,0.61
2016-01-28,0.58,0.59
2015-11-04,0.95,0.93
2015-07-29,1.03,1.15
2015-04-29,0.74,0.85
2015-01-26,0.9,0.96
2014-11-03,1.05,1.31
2014-07-29,1.8,1.97
2014-04-28,1.51,1.27
2014-01-28,1.73,1.66
2013-11-04,2.46,2.66
2013-07-23,1.66,2.16
2013-04-23,1.02,1.12
2013-01-22,1.27,1.35
2012-11-01,1.38,1.39
2012-07-24,1.02,0.95
2012-04-25,0.87,0.97
2012-01-24,1.39,1.18
2011-11-09,1.56,1.7
2011-08-02,1.2,1.29
2011-04-26,1.26,1.04
2011-01-23,1.19,1.28
2010-11-03,1.47,1.64
2010-07-26,1.14,1.14
2010-04-27,0.59,0.7
2010-01-26,1.01,0.94
2009-11-03,1.19,1.21
2009-07-27,0.89,1.44
2009-04-27,0.97,1.02
2009-01-27,0.86,0.96
2008-11-03,0.84,0.9
2008-07-28,0.67,0.7
2008-04-28,0.65,0.66
2008-01-23,0.47,0.51
2007-11-07,0.55,0.57
2007-07-24,0.58,0.64
2007-04-25,0.47,0.57
2007-01-24,0.13,0.4
2006-11-06,0.42,0.58
2006-08-03,0.3,0.3
2006-04-27,0.15,0.22
2006-01-26,0.1,-0.19
2005-11-15,0.27,0.22
2005-08-05,0.11,0.21
2005-04-28,0.17,0.05
2005-01-27,0.17,0.01
2004-11-02,0.27,0.28
2004-07-27,0.25,0.21
2004-04-27,0.16,0.19
2004-01-21,0.2,0.12
2003-10-28,0.28,0.27
2003-07-22,0.26,0.22
2003-04-22,0.18,0.23
2003-01-22,0.1,0.14
2002-10-31,0.29,0.25
2002-07-19,0.35,0.35
2002-04-22,0.37,0.34
2002-01-18,0.31,0.36
2001-10-25,0.35,0.39
2001-07-16,0.3,0.32
2001-04-20,0.25,0.28
2001-01-19,0.25,0.18
2000-10-26,0.25,0.28
2000-07-21,0.18,0.17
2000-04-28,0.29,0.28
2000-01-21,0.32,0.29
1999-10-28,0.28,0.35
1999-07-16,0.27,0.33
1999-04-21,0.26,0.27
1999-01-15,0.25,0.29
1998-10-22,0.32,0.37
1998-07-17,0.31,0.34
1998-04-17,0.26,0.28
1998-01-16,0.27,0.25
1997-10-23,0.25,0.28
1997-07-18,0.23,0.36
